Slice,Height,Width,Whole_Height,Height/Whole,Width/Whole
37,381,150,4220,0.09028436019,0.0355450237
38,506,211,4343,0.1165093254,0.04858392816
39,787,396,4340,0.1813364055,0.09124423963
40,841,413,4340,0.1937788018,0.09516129032
41,742,353,4330,0.1713625866,0.08152424942
42,870,457,4520,0.1924778761,0.1011061947
43,969,488,4491,0.2157648631,0.108661768
44,1018,480,3753,0.2712496669,0.1278976819
45,1086,505,4069,0.2668960433,0.1241091177
46,1107,572,4392,0.2520491803,0.1302367942
47,1197,540,4532,0.2641218005,0.119152692
48,1204,524,4403,0.2734499205,0.1190097661
49,1234,592,4354,0.2834175471,0.135966927
50,1317,560,4363,0.3018565207,0.1283520513
51,1394,558,4569,0.3050995842,0.1221273802
52,1553,644,4500,0.3451111111,0.1431111111
53,1610,662,4500,0.3577777778,0.1471111111
54,1666,680,4500,0.3702222222,0.1511111111
55,1274,667,4114,0.3096742829,0.1621293145
56,1510,695,4366,0.3458543289,0.1591846083
57,1752,687,4512,0.3882978723,0.1522606383
58,1792,681,4498,0.3983992886,0.1514006225
59,1896,723,4630,0.4095032397,0.1561555076
60,1840,731,4666,0.3943420489,0.1566652379
61,2000,668,5094,0.3926187672,0.1311346682
62,1957,789,5087,0.3847061136,0.1551012385
63,1988,821,4967,0.4002415945,0.1652909201
64,2082,711,5217,0.399079931,0.1362852214
65,2056,821,5262,0.3907259597,0.1560243254
