Slice,DG_H,DG_W,whole,H/whole,W/whole
39,389,185,4586,0.08482337549,0.04034016572
40,526,237,4397,0.1196270184,0.05390038663
41,555,248,4343,0.127791849,0.05710338476
42,804,341,4300,0.1869767442,0.07930232558
43,896,387,4300,0.208372093,0.09
44,860,430,4278,0.201028518,0.100514259
45,964,445,4246,0.2270372115,0.1048045219
46,1056,465,4266,0.2475386779,0.1090014065
47,1154,544,4316,0.2673772011,0.1260426321
48,1120,507,4089,0.2739056004,0.1239911959
49,1247,565,4139,0.3012805025,0.1365064025
50,1289,567,4289,0.3005362555,0.1321986477
51,1387,687,4266,0.3251289264,0.1610407876
52,1550,605,4211,0.3680835906,0.143671337
53,1545,658,4220,0.3661137441,0.1559241706
54,1864,867,4200,0.4438095238,0.2064285714
55,1954,912,4200,0.4652380952,0.2171428571
56,1800,722,4157,0.4330045706,0.1736829444
57,1979,827,4177,0.4737850132,0.1979889873
58,2070,645,4265,0.4853458382,0.1512309496
59,2067,908,4223,0.4894624674,0.2150130239
60,2215,845,4178,0.5301579703,0.2022498803
61,2247,1179,4375,0.5136,0.2694857143
62,2243,1155,4218,0.5317686107,0.273826458
63,2306,1416,4397,0.5244484876,0.322037753
64,2204,1368,4284,0.5144724556,0.3193277311
65,2282,836,4200,0.5433333333,0.199047619
