Height,Width,Whole_Height,Height/Whole,Height/Avg,Slice,Width/Whole,Width/Avg
0,0,0,0,0,1,0,0
165,159,4113,0.04011670314,0.03915683674,2,0.03865791393,0.03773295177
290,250,4105,0.0706455542,0.06687758088,3,0.06090133983,0.05765308696
391,370,3973,0.0984142965,0.09016942801,4,0.09312861817,0.0853265687
458,401,3912,0.1170756646,0.1056204553,5,0.1025051125,0.09247555149
501,526,3666,0.1366612111,0.1155367863,6,0.1434806328,0.121302095
771,595,4127,0.1868185122,0.1778021202,7,0.1441725224,0.137214347
911,731,4336.28125,0.2103,0.1994,8,0.1686,0.1601
973,794,4336.28125,0.2246,0.2154,9,0.1832,0.1763
956,751,3611,0.2647466076,0.2204654045,10,0.20797563,0.1731898732
1005,815,4192,0.2397423664,0.2317654096,11,0.1944179389,0.1879490635
1140,897,4154,0.2744342802,0.2628980765,12,0.2159364468,0.206859276
1143,907,4373,0.2613766293,0.2635899136,13,0.2074091013,0.2091653995
1258,961,4282,0.2937879496,0.2901103336,14,0.2244278375,0.2216184663
1245,1030,3922,0.3174400816,0.2871123731,15,0.2626211117,0.2375307183
1399,1047,4520,0.3095132743,0.3226266746,16,0.2316371681,0.2414511282
1413,1133,4405,0.3207718502,0.3258552475,17,0.2572077185,0.2612837901
1509,1134,4447,0.3393298853,0.3479940329,18,0.2550033731,0.2615144025
1586,1149,4184,0.3790630975,0.3657511837,19,0.2746175908,0.2649735877
1676,1231,4418,0.3793571752,0.386506295,20,0.2786328656,0.2838838002
1676,1265,4321,0.3878731775,0.386506295,21,0.2927563064,0.29172462
1656,1284,4336.28125,0.3819,0.3914,22,0.296,0.3083
1718,1302,4336.28125,0.3962,0.4074,23,0.3002,0.3141
1743,1389,4364,0.3994042163,0.4019573223,24,0.3182859762,0.3203205512
1949,1386,4550,0.4283516484,0.449463466,25,0.3046153846,0.3196287141
1929,1310,4592,0.4200783972,0.444851219,26,0.2852787456,0.3021021757
2041,1336,4591,0.4445654541,0.470679802,27,0.2910041385,0.3080980967
1908,1365,4579,0.4166848657,0.4400083597,28,0.2981000218,0.3147858548
2126,1301,4588,0.4633827376,0.4902818515,29,0.2835658239,0.3000266646
2156,1421,4518,0.4772023019,0.497200222,30,0.314519699,0.3277001463
2112,1358,4434,0.4763193505,0.4870532787,31,0.3062697339,0.3131715684
2217,1356,4624,0.4794550173,0.5112675752,32,0.2932525952,0.3127103437
2287,1429,4551,0.5025269172,0.5274104395,33,0.3139969238,0.3295450451
2303,1394,4628,0.4976231634,0.5311002371,34,0.3012100259,0.3214736129
2331,1342,4389,0.5311004785,0.5375573828,35,0.305764411,0.3094817708
2213,1332,4336.28125,0.5106,0.5354,36,0.3072,0.3323
2276,1323,4336.28125,0.5249,0.5514,37,0.305,0.3317
2397,1419,4623,0.5184944841,0.5527777978,38,0.3069435432,0.3272389216
2547,1437,4505,0.5653718091,0.58736965,39,0.3189789123,0.3313899439
2532,1423,4613,0.5488835899,0.5839104648,40,0.308476046,0.328161371
2557,1343,4307,0.5936846993,0.6068123124,41,0.3118179707,0.3187129197
